,state,county,inc,% change
1208,MD,Talbot,84695,6.1
1209,WA,Wicomico,46893,7.6
1210,WA,Worcester,63811,5.9
1211,WA,Baltimore City,58556,8.1
1213,MA,Barnstable,83191,6.8
1214,MA,Berkshire,65050,8.3
1215,MA,Bristol,64924,11
1216,MA,Dukes,86341,2.2
1217,MA,Essex,78093,7
1218,MA,Franklin,63366,7.2
1219,MA,Hampden,61522,9.2
1220,MA,Hampshire,60717,6.2
1221,MA,Middlesex,98523,5.6
1222,MA,Nantucket,101902,-3.3
1223,MA,Norfolk,104059,4.7
1224,MA,Plymouth,79817,7.8
1225,MA,Suffolk,98644,9
1226,MA,Worcester,65793,8.5
1228,MI,Alcona,49262,11.3
1229,MI,Alger,42171,12.4
1230,MI,Allegan,53375,9.3
1231,MI,Alpena,48428,11.5
1232,MI,Antrim,55759,9
1233,MI,Arenac,47470,12.7
1234,MI,Baraga,41772,14.3
1235,MI,Barry,52951,8.2
1236,MI,Bay,50396,9.7
1237,MI,Benzie,54684,11
1238,MI,Berrien,59656,9.2
1239,MI,Branch,45325,11
1240,MI,Calhoun,47789,10.6
1241,MI,Cass,56042,11.4
1242,MI,Charlevoix,62505,9.8
1243,MI,Cheboygan,48078,12.4
1244,MI,Chippewa,42943,13.1
1245,MI,Clare,40710,12.1
1246,MI,Clinton,54719,7.9
1247,MI,Crawford,44116,13.4
1248,MI,Delta,46524,10.4
1249,MI,Dickinson,55335,9.1
1250,MI,Eaton,50743,9.3
1251,MI,Emmet,66826,8.8
1252,MI,Genesee,49399,10
1253,MI,Gladwin,44068,8.5
1254,MI,Gogebic,48705,10.2
1255,MI,Grand Traverse,60388,9
1256,MI,Gratiot,43249,12.6
1257,MI,Hillsdale,42365,10
1258,MI,Houghton,43809,10.1
1259,MI,Huron,55774,15.3
1260,MI,Ingham,49608,10.6
1261,MI,Ionia,40849,11.6
1262,MI,Iosco,46918,12.3
1263,MI,Iron,49653,7.1
1264,MI,Isabella,45657,11.7
1265,MI,Jackson,47503,11
1266,MI,Kalamazoo,58524,8.1
1267,MI,Kalkaska,43609,13.6
1268,MI,Kent,61852,7.7
1269,MI,Keweenaw,59593,11.1
1270,MI,Lake,38989,13.7
1271,MI,Lapeer,52034,10.4
1272,MI,Leelanau,78457,6.5
1273,MI,Lenawee,46929,9.3
1274,MI,Livingston,65883,5.6
1275,MI,Luce,43526,16.4
1276,MI,Mackinac,53230,12.8
1277,MI,Macomb,54258,9.4
1278,MI,Manistee,46489,9.5
1279,MI,Marquette,47870,11
1280,MI,Mason,48733,10.7
1281,MI,Mecosta,44177,11.5
1282,MI,Menominee,48873,9.2
1283,MI,Midland,62055,6.5
1284,MI,Missaukee,43609,12.9
1285,MI,Monroe,53509,5.8
1286,MI,Montcalm,40592,11.3
1287,MI,Montmorency,43331,12.3
1288,MI,Muskegon,46701,11.4
1289,MI,Newaygo,44597,10.7
1290,MI,Oakland,80962,6.1
1291,MI,Oceana,46015,10.9
1292,MI,Ogemaw,42781,14
1293,MI,Ontonagon,47563,12.2
1294,MI,Osceola,45167,10.7
1295,MI,Oscoda,39929,7.8
1296,MI,Otsego,49320,12.6
1297,MI,Ottawa,56076,7.4
1298,MI,Presque Isle,47138,11.5
1299,MI,Roscommon,44518,12.2
1300,MI,Saginaw,49274,10.2
1301,MI,St. Clair,52805,10.2
1302,MI,St. Joseph,46199,12.1
1303,MI,Sanilac,47144,15.5
1304,MI,Schoolcraft,49103,12.2
1305,MI,Shiawassee,47525,10.4
1306,MI,Tuscola,44908,12.3
1307,MI,Van Buren,48770,9.6
1308,MI,Washtenaw,68688,5.2
1309,MI,Wayne,50610,9.8
1310,MI,Wexford,44697,10.7
1312,MN,Aitkin,49255,11.4
1313,MN,Anoka,59397,6
1314,MN,Becker,56147,7.5
1315,MN,Beltrami,50833,9.4
1316,MN,Benton,53214,8.7
1317,MN,Big Stone,64816,18.3
1318,MN,Blue Earth,51834,8
1319,MN,Brown,60615,8.2
1320,MN,Carlton,49797,7.2
1321,MN,Carver,80562,3.2
